term,translation,phonetic,definition,examples,tags,case_sensitive
recurrent neural network,循环神经网络,,Neural network designed for sequential data,The recurrent neural network processed time series.,ai,false
RNN,循环神经网络,,Abbreviation for recurrent neural network,The RNN modeled sequential dependencies.,ai,false
reinforcement learning,强化学习,,Learning by interacting with an environment and rewards,Reinforcement learning optimized the policy.,ai,false
supervised learning,监督学习,,Learning from labeled examples,Supervised learning requires labeled data.,ai,false
unsupervised learning,无监督学习,,Learning patterns without labeled outputs,Unsupervised learning discovered clusters.,ai,false
semi-supervised learning,半监督学习,,Learning from a mix of labeled and unlabeled data,Semi-supervised learning reduced labeling cost.,ai,false
zero-shot,零样本,,Using a model on a task without task-specific examples,The model achieved zero-shot transfer.,ai,false
few-shot,少样本,,Using a small number of examples,Few-shot prompting improved accuracy.,ai,false
ablation study,消融实验,,Experiment removing components to test their contribution,The ablation study confirmed the module mattered.,academic,false
baseline,基线方法,,Reference method or result used for comparison,The new model outperformed the baseline.,academic,false
benchmark,基准测试,,Standard test used to compare systems,The benchmark measures translation quality.,academic,false
state of the art,当前最佳水平,,Best known performance or method at a given time,The method achieved state-of-the-art accuracy.,academic,false
SOTA,当前最佳水平,,Abbreviation for state of the art,The model reached SOTA on the benchmark.,academic,false
dataset,数据集,,Collection of data used for analysis or training,The dataset contains annotated images.,academic,false
data augmentation,数据增强,,Technique that expands training data with transformations,Data augmentation improved robustness.,ai,false
cross-validation,交叉验证,,Evaluation method splitting data into multiple folds,Cross-validation produced a stable estimate.,statistics,false
regularization,正则化,,Technique to reduce overfitting by adding constraints,Regularization penalizes overly complex models.,ai,false
normalization,归一化；标准化,,Scaling values to a common range or distribution,Normalization stabilized training.,statistics,false
principal component analysis,主成分分析,,Dimensionality reduction method using orthogonal components,Principal component analysis revealed clusters.,statistics,false
PCA,主成分分析,,Abbreviation for principal component analysis,PCA reduced the feature dimension.,statistics,false
genome-wide association study,全基因组关联研究,,Study scanning genetic variants associated with traits,The genome-wide association study identified risk loci.,bioinformatics,false
GWAS,全基因组关联研究,,Abbreviation for genome-wide association study,GWAS found several significant variants.,bioinformatics,false
RNA-seq,RNA 测序,,Sequencing method for transcriptome analysis,RNA-seq measured gene expression.,bioinformatics,false
scRNA-seq,单细胞 RNA 测序,,Single-cell RNA sequencing method,scRNA-seq identified rare cell types.,bioinformatics,false
single-cell sequencing,单细胞测序,,Sequencing technology at single-cell resolution,Single-cell sequencing revealed cellular heterogeneity.,bioinformatics,false
transcriptome,转录组,,Complete set of RNA transcripts in a cell or tissue,The transcriptome changed after treatment.,bioinformatics,false
genotype,基因型,,Genetic constitution of an organism or variant,The genotype was associated with disease risk.,bioinformatics,false
phenotype,表型,,Observable traits or characteristics,The phenotype was measured clinically.,bioinformatics,false
bioinformatics,生物信息学,,Computational analysis of biological data,Bioinformatics tools processed sequencing reads.,bioinformatics,false
preprint,预印本,,Manuscript shared publicly before peer review,The preprint has not yet been peer reviewed.,academic,false
peer review,同行评审,,Evaluation of scholarly work by experts,Peer review improved the manuscript.,academic,false
manuscript,稿件；论文手稿,,Draft or submitted academic paper,The manuscript was submitted to the journal.,academic,false
citation,引用；引文,,Reference to a source or publication,The citation supports the claim.,academic,false
bibliography,参考文献目录,,List of references in a document,The bibliography follows APA style.,academic,false
supplementary material,补充材料,,Additional files or data accompanying a paper,The supplementary material contains extra tables.,academic,false
